2026-04-14 14:14:29,298 | INFO | Memindahkan: Inspection Report_20260414150711.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,301 | INFO | Memindahkan: Inspection Report_20260414150736.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,303 | INFO | Memindahkan: Inspection Report_20260414150802.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,305 | INFO | Memindahkan: Inspection Report_20260414150854.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,307 | INFO | Memindahkan: Inspection Report_6T2229003954_20260414144800.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,310 | INFO | Memindahkan: Inspection Report_6T2229006161_20260414150436.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,310 | INFO | Memindahkan: Inspection Report_6T2239030965_20260414150919.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,316 | INFO | Memindahkan: Inspection Report_6T2429006969_20260414150320.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,318 | INFO | Memindahkan: Inspection Report_6T2449020139_20260414150138.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,321 | INFO | Memindahkan: Inspection Report_BT2461300179_20260414145839.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,323 | INFO | Memindahkan: Inspection Report_ES2170008784_20260414150645.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,326 | INFO | Memindahkan: Inspection Report_ES2260137606_20260414150527.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
